timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116220248,3010,Delete Account,200,OK,Load Test 1-87,text,true,,289,571,100,100,http://localhost:6400/api/users,3010,0,0
1741116220246,3022,Delete Account,200,OK,Load Test 1-68,text,true,,289,571,100,100,http://localhost:6400/api/users,3022,0,0
1741116223075,211,Delete group,200,OK,Load Test 1-3,text,true,,290,607,100,100,http://localhost:6400/api/group,211,0,0
1741116220849,2442,Delete Account,200,OK,Load Test 1-2,text,true,,289,571,100,100,http://localhost:6400/api/users,2442,0,0
1741116220849,2451,Delete Account,200,OK,Load Test 1-81,text,true,,289,571,100,100,http://localhost:6400/api/users,2451,0,0
1741116220865,2545,Login,200,OK,Load Test 1-26,text,true,,1373,249,100,100,http://localhost:6400/api/auth,2545,0,0
1741116223410,0,Login-0,200,OK,Load Test 1-26,text,true,,682,0,100,100,null,0,0,0
1741116220893,2643,Login,200,OK,Load Test 1-34,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2643,0,0
1741116223536,0,Login-0,200,OK,Load Test 1-34,text,true,,683,0,100,100,null,0,0,0
1741116220890,2652,Login,200,OK,Load Test 1-29,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2652,0,0
1741116223542,0,Login-0,200,OK,Load Test 1-29,text,true,,683,0,100,100,null,0,0,0
1741116220900,2667,Login,200,OK,Load Test 1-36,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2666,0,0
1741116223566,1,Login-0,200,OK,Load Test 1-36,text,true,,683,0,100,100,null,0,0,0
1741116220895,2685,Login,200,OK,Load Test 1-31,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2684,0,0
1741116223580,0,Login-0,200,OK,Load Test 1-31,text,true,,683,0,100,100,null,0,0,0
1741116221449,2285,Login,200,OK,Load Test 1-32,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2285,0,0
1741116223734,0,Login-0,200,OK,Load Test 1-32,text,true,,683,0,100,100,null,0,0,0
1741116223044,783,Update group,200,OK,Load Test 1-6,text,true,,290,715,100,100,http://localhost:6400/api/group,783,0,0
1741116223065,765,Update group,200,OK,Load Test 1-19,text,true,,290,715,100,100,http://localhost:6400/api/group,765,0,0
1741116223049,784,Update group,200,OK,Load Test 1-20,text,true,,290,715,100,100,http://localhost:6400/api/group,784,0,0
1741116223055,782,Update group,200,OK,Load Test 1-4,text,true,,290,715,100,100,http://localhost:6400/api/group,782,0,0
1741116223063,788,Update group,200,OK,Load Test 1-40,text,true,,290,715,100,100,http://localhost:6400/api/group,788,0,0
1741116223035,829,Update group,200,OK,Load Test 1-92,text,true,,290,715,100,100,http://localhost:6400/api/group,829,0,0
1741116223065,810,Update group,200,OK,Load Test 1-27,text,true,,290,715,100,100,http://localhost:6400/api/group,810,0,0
1741116223411,470,Create group,200,OK,Load Test 1-26,text,true,,290,656,100,100,http://localhost:6400/api/group,470,0,0
1741116223537,347,Create group,200,OK,Load Test 1-34,text,true,,290,656,100,100,http://localhost:6400/api/group,347,0,0
1741116223580,307,Create group,200,OK,Load Test 1-31,text,true,,290,656,100,100,http://localhost:6400/api/group,307,0,0
1741116223735,165,Create group,200,OK,Load Test 1-32,text,true,,290,656,100,100,http://localhost:6400/api/group,165,0,0
1741116223543,355,Create group,200,OK,Load Test 1-29,text,true,,290,656,100,100,http://localhost:6400/api/group,355,0,0
1741116223567,330,Create group,200,OK,Load Test 1-36,text,true,,290,656,100,100,http://localhost:6400/api/group,330,0,0
1741116223250,645,Delete group,200,OK,Load Test 1-84,text,true,,290,607,100,100,http://localhost:6400/api/group,645,0,0
1741116220849,3069,Delete Account,200,OK,Load Test 1-93,text,true,,289,571,100,100,http://localhost:6400/api/users,3069,0,0
1741116221321,2599,Delete Account,200,OK,Load Test 1-86,text,true,,289,571,100,100,http://localhost:6400/api/users,2599,0,0
